Country Name,Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",GDP per capita (constant 2015 US$),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Net migration,Poverty headcount ratio at national poverty line (% of population),"Unemployment, total (% of total labor force)",Population,Density (P/Km²),Confirmed,Deaths,Recovered,Active
Hong Kong,,6.5,44195.2523378549,85.1558536585366,,0,,2.917,7496981.0,7140.0,1000693.0,15976.0,860756.0,123896.0
Hungary,1054,13.3,15083.5991718742,76.3195121951219,,33559,12.3,3.419,9660351.0,107.0,15516561.0,450464.0,4852280.0,10213817.0
Iceland,5865,6.3,57493.4195335925,83.1634146341463,,5152,,3.507,341243.0,3.0,802164.0,3644.0,712094.0,86426.0
India,61,6.71,1944.31484844968,70.91,,-593495,,6.51,1380004385.0,464.0,1068025329.0,16909137.0,937870270.0,113246254.0
Indonesia,119.4984436,7.539,3892.42166187369,70.518,,-40567,9.4,3.59,273523615.0,151.0,59897920.0,2121902.0,46066007.0,11710011.0
Iran,378.47418213,4.872,5017.11721517534,76.103,,-34571,,10.74,83992949.0,52.0,116674928.0,6151531.0,91140170.0,19383227.0
Iraq,239.57891846,4.301,4854.38649618787,71.576,,-29880,,14.142,40222493.0,93.0,63735334.0,1598851.0,52680174.0,9456309.0
Ireland,5462.73095703,6.3,75281.9215322169,82.7024390243903,,29113,13.8,4.95,4937786.0,72.0,10369122.0,455620.0,5595586.0,4317916.0
Isle of Man,,10.09,95137.3348854037,80.737,,239,,,85033.0,149.0,0.0,0.0,0.0,0.0
Israel,3354,5.1,39591.3687578516,82.8048780487805,,16132,,3.731,8655535.0,400.0,40907813.0,330573.0,35189148.0,5387443.0
Italy,2911,10.6,32114.2998563994,83.4975609756098,99.3490982055664,21615,20,9.952,60461826.0,206.0,150428536.0,10475292.0,86295688.0,53657554.0
Jamaica,343.06192017,7.477,5307.51034434468,71.767,,-11329,,4.987,2961167.0,273.0,1137492.0,23519.0,624271.0,489702.0
Japan,4463,11.2,36043.7844013365,84.3563414634146,,183953,,2.351,126476461.0,347.0,18235231.0,352621.0,15059108.0,2820718.0
Jordan,294.18927002,3.148,3909.25001726642,76.044,,28963,,16.801,10203134.0,115.0,14076051.0,172733.0,9212868.0,4690450.0
Kazakhstan,270,7.19,11402.7584159346,73.18,,-37080,4.3,4.8,18776707.0,7.0,21717398.0,294527.0,18405973.0,3016898.0
Kenya,86.06783295,7.29,1653.82898526646,62.943,,-61946,,5.014,53771296.0,94.0,8776970.0,156589.0,5916541.0,2703840.0
Kiribati,177,6.252,1829.22305681577,67.15,,-691,21.9,,119449.0,147.0,0.0,0.0,0.0,0.0
South Korea,2605.9934082,5.7,31645.9498343307,83.2268292682927,,110799,,3.746,51269185.0,527.0,5949407.0,103547.0,4801087.0,1044737.0
Kuwait,1643.56970215,2.194,26278.7396325411,79.685,,9088,,2.239,4270571.0,240.0,20555025.0,130523.0,18452868.0,1971634.0
Kyrgyzstan,63,5.2,1226.82431155612,71.6,99.5999984741211,-34270,20.1,4.252,6524195.0,34.0,9243724.0,201338.0,7895154.0,1147232.0
Laos,67.81835938,6.505,2564.01946515237,68.138,,-10303,,2.528,7275560.0,32.0,6378.0,0.0,5219.0,1183.0
Latvia,1183,14.5,15759.0818388809,75.3878048780488,,-7903,21.6,6.312,1886198.0,30.0,1513990.0,22183.0,674629.0,817178.0
Lebanon,782.2052002,5.178,8081.74334362085,79.236,,-237572,,11.301,6825445.0,667.0,10979867.0,92915.0,6370499.0,4515909.0
